bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
3538,Mon,Mar,82,21,23,3,6,64,352,33,24,NO,0.0,YES,normal,P4,All,7,0,NO
99534,Thu,Jun,167,15,16,1,5,35,737,115,981,NO,0.0,NO,major,P3,PC,10,1,NO
134091,Tue,Apr,108,20,18,19,1,51,590,14,45,YES,0.0,NO,normal,P3,PC,12,0,NO
134091,Tue,Apr,108,21,18,19,1,45,591,14,45,YES,0.4,NO,normal,P3,PC,12,0,NO
134091,Tue,Apr,108,21,18,19,1,45,592,14,45,YES,0.8,NO,normal,P3,PC,12,0,NO
274925,Fri,May,128,21,8,10,1,32,105,1,115,YES,0.0,NO,normal,P3,Macintosh,10,1,YES
37578,Fri,Jul,206,16,25,1,2,33,126,1,678,NO,0.0,NO,major,P3,PC,7,1,NO
148509,Tue,Sep,261,17,18,8,4,74,1050,1,184,NO,0.0,YES,major,P3,PC,6,1,YES
148509,Tue,Sep,261,18,18,8,1,22,1051,1,184,NO,0.2,YES,major,P3,PC,6,1,YES
85072,Mon,Apr,101,15,11,5,1,74,508,1,684,YES,0.0,NO,normal,P3,PC,7,1,NO
85072,Mon,Apr,101,16,11,6,1,2,509,1,684,YES,0.9,NO,normal,P3,PC,7,1,NO
251021,Wed,Dec,352,21,17,12,7,88442,258,2,163,YES,0.0,NO,critical,P3,Macintosh,10,1,NO
255637,Wed,Nov,324,17,19,6,4,35,1279,1,447,NO,0.0,NO,critical,P3,PC,4,1,NO
219133,Wed,Apr,107,15,16,5,7,111,135,1,341,NO,0.0,NO,normal,P3,Macintosh,3,1,YES
219133,Thu,Apr,108,12,17,5,3,22,138,1,341,NO,4.5,NO,normal,P3,Macintosh,3,1,YES
10505,Mon,Sep,271,22,27,3,1,1,415,9,17,NO,0.0,NO,enhancement,P4,All,7,1,NO
10505,Mon,Sep,271,23,27,3,1,229,416,9,17,NO,0.1,NO,enhancement,P4,All,7,1,NO
10505,Mon,Sep,271,23,27,3,2,22,417,9,17,NO,0.1,NO,enhancement,P4,All,7,1,NO
10505,Mon,Sep,271,23,27,3,1,336,418,9,17,NO,0.2,NO,enhancement,P4,All,7,1,NO
3229,Mon,Mar,79,18,20,2,4,10,494,16,1,NO,0.0,NO,normal,P3,All,8,0,NO
3228,Mon,Mar,72,21,13,1,5,11,568,14,6,NO,0.0,NO,normal,P3,All,10,0,NO
3228,Mon,Mar,72,21,13,1,1,19,569,14,6,NO,0.3,NO,normal,P3,All,10,0,NO
3224,Thu,Feb,40,21,9,1,5,19,548,3,12,NO,0.0,NO,normal,P3,All,6,0,NO
3227,Mon,Mar,65,20,6,1,4,10,562,13,5,NO,0.0,NO,normal,P3,All,12,0,NO
24178,Thu,Oct,296,15,23,1,2,169,257,1,437,NO,0.0,NO,normal,P3,PC,7,1,NO
24178,Thu,Oct,296,17,23,1,3,182,258,1,437,NO,1.1,NO,normal,P3,PC,7,1,NO
24178,Thu,Oct,296,19,23,1,4,132,260,1,437,NO,2.3,NO,normal,P3,PC,7,1,NO
24178,Thu,Oct,296,20,23,1,2,12,261,1,437,NO,2.5,NO,normal,P3,PC,7,1,NO
24178,Fri,Oct,297,21,24,1,4,124,262,1,437,NO,4.9,NO,normal,P3,PC,7,1,NO
24178,Fri,Oct,297,21,24,1,4,172,263,1,437,NO,4.9,NO,normal,P3,PC,7,1,NO
24178,Fri,Oct,297,21,24,1,1,10,264,1,437,NO,5.0,NO,normal,P3,PC,7,1,NO
24178,Fri,Oct,297,22,24,1,4,24,265,1,437,NO,5.0,NO,normal,P3,PC,7,1,NO
24178,Mon,Oct,300,19,27,1,3,138,281,1,437,NO,6.6,NO,normal,P3,PC,7,1,NO
24178,Mon,Oct,300,21,27,1,2,18,266,1,437,NO,6.7,NO,normal,P3,PC,7,1,NO
24178,Mon,Oct,300,21,27,1,2,8,267,1,437,NO,6.7,NO,normal,P3,PC,7,1,NO
24178,Mon,Oct,300,22,27,1,1,6,268,1,437,NO,6.7,NO,normal,P3,PC,7,1,NO
24178,Mon,Oct,300,22,27,1,1,6,269,1,437,NO,6.7,NO,normal,P3,PC,7,1,NO
24178,Mon,Oct,300,22,27,1,1,6,282,1,437,NO,6.7,NO,normal,P3,PC,7,1,NO
24178,Mon,Oct,300,22,27,1,1,1,283,1,437,NO,6.7,NO,normal,P3,PC,7,1,NO
24178,Wed,Oct,302,18,29,1,3,6,270,1,437,NO,7.2,NO,normal,P3,PC,7,1,NO
24178,Wed,Oct,302,18,29,1,3,5,271,1,437,NO,7.2,NO,normal,P3,PC,7,1,NO
