bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
104668,Wed,Jan,11,12,11,8,2,13,17,1,400,YES,0.0,NO,Minor,P2,Unspecified,11,5,NO
104668,Fri,Jan,13,9,13,17,5,56,655,1,400,YES,5.5,NO,Minor,P2,Unspecified,11,5,NO
104668,Thu,Aug,229,0,16,9,2,15,8691,1,400,YES,12.3,NO,Minor,P2,Unspecified,11,5,NO
57292,Thu,Apr,98,22,8,7,2,15,114,64,67,NO,0.0,NO,Normal,P2,Other,6,3,NO
41845,Thu,Jul,196,14,15,7,2,187,19,14,4503,YES,0.0,NO,Normal,P2,PC,5,3,YES
127907,Mon,Sep,254,0,10,5,2,11,102,68,45,NO,0.0,NO,Normal,P2,Unspecified,4,1,NO
69370,Thu,Oct,279,19,6,12,2,11,4094,1,5844,YES,0.0,NO,Normal,P2,PC,13,4,NO
127979,Sat,Feb,32,1,1,7,3,183,292,51,51,YES,0.0,NO,Normal,P2,Unspecified,6,3,YES
119995,Mon,Aug,231,21,19,7,63,1154,825,22,19,YES,0.0,NO,Normal,P2,Unspecified,6,19,NO
121236,Thu,Sep,255,18,12,14,3,39,282,89,93,YES,0.0,NO,Normal,P2,Unspecified,13,0,YES
121891,Thu,Jul,187,9,5,5,2,10,57,135,2259,NO,0.0,NO,Normal,P2,Unspecified,2,6,NO
126971,Wed,Sep,256,15,12,11,2,18,79,34,31,YES,0.0,NO,Normal,P2,Unspecified,10,2,NO
102849,Thu,Dec,349,10,15,11,2,14,4871,9,6,YES,0.0,NO,Normal,P2,Unspecified,14,5,NO
105396,Tue,Jan,24,0,24,10,7,186,1077,26,5,YES,0.0,NO,Normal,P2,Unspecified,5,0,NO
94338,Thu,Sep,244,21,1,6,7,111,338,267,252,NO,0.0,NO,Normal,P2,Unspecified,4,6,NO
94338,Thu,Sep,244,21,1,8,10,19,339,267,252,NO,0.2,NO,Normal,P2,Unspecified,4,6,NO
105395,Thu,Feb,33,9,2,16,16,253,122,21,23,YES,0.0,NO,Normal,P2,Unspecified,4,2,NO
100949,Mon,Nov,325,22,21,4,13,217,191,10,9,YES,0.0,NO,Normal,P2,Unspecified,9,6,YES
100949,Mon,Nov,325,23,21,5,25,140,92,10,9,NO,1.0,NO,Normal,P2,Unspecified,9,6,YES
100949,Tue,Nov,326,1,22,6,7,11,95,10,9,NO,1.9,NO,Normal,P2,Unspecified,9,6,YES
80594,Thu,Mar,68,18,8,12,5,65,5849,48,37,YES,0.0,NO,Normal,P2,Unspecified,11,2,YES
117258,Wed,May,137,14,16,9,2,14,6933,101,1676,YES,0.0,NO,Normal,P2,Unspecified,5,2,NO
117259,Wed,May,137,11,16,7,111,6575,18,6,5,YES,0.0,NO,Normal,P2,Unspecified,15,11,NO
130080,Mon,Oct,275,22,1,5,2,12,112,188,3257,NO,0.0,NO,Normal,P2,Unspecified,10,1,NO
94331,Tue,Sep,249,15,6,5,5,47,568,137,160,NO,0.0,NO,Normal,P2,Unspecified,12,7,NO
94331,Wed,Sep,250,23,7,9,3,25,788,137,160,NO,5.0,NO,Normal,P2,Unspecified,12,7,NO
81336,Mon,Mar,79,2,19,11,6,32,94,71,73,YES,0.0,NO,Normal,P2,Unspecified,9,5,NO
88020,Mon,Jun,157,5,6,9,5,21,467,86,276,YES,0.0,NO,Normal,P2,Unspecified,5,5,NO
71700,Mon,Nov,311,17,7,11,3,20,89,189,190,YES,0.0,NO,Normal,P2,All,10,11,NO
117090,Fri,May,151,21,31,23,17,180,408,9,5,YES,0.0,NO,Normal,P2,Unspecified,22,9,NO
105433,Thu,Jan,19,20,19,5,2,11,214,25,26,YES,0.0,NO,Normal,P2,All,7,8,NO
80755,Sun,Mar,72,9,13,25,51,87,286,7,7105,NO,0.0,NO,Normal,P2,PC,10,1,NO
128907,Wed,Sep,263,14,19,9,2,20,374,27,25,YES,0.0,NO,Normal,P2,All,9,15,NO
74123,Fri,Jan,6,9,6,11,12,109,5031,2,6373,YES,0.0,NO,Normal,P2,All,10,8,NO
99844,Sat,Nov,316,2,12,14,14,118,368,51,45,NO,0.0,NO,Normal,P2,Unspecified,8,5,NO
80338,Thu,Mar,68,20,8,13,13,158,5854,22,22,YES,0.0,NO,Normal,P2,All,12,8,YES
80338,Tue,Mar,73,18,13,13,13,172,5918,22,22,YES,6.9,NO,Normal,P2,All,12,8,YES
51117,Wed,Dec,349,18,15,8,1,9,86,8,4810,YES,0.0,NO,Normal,P2,PC,5,0,NO
98001,Mon,Oct,275,19,1,11,2,18,98,173,169,YES,0.0,NO,Normal,P2,Unspecified,5,5,YES
104068,Wed,Jan,4,22,4,7,2,12,1042,3,4,NO,0.0,NO,Normal,P2,Unspecified,11,3,NO
17253,Sun,Feb,41,22,10,5,1,4,26,109,150,NO,0.0,NO,Normal,P2,All,17,3,NO
